"","i","id","quote","rating","date","memberid","location","review_link","fullreview","age"
"1",2,437786219,"Stunning Wat in pristine condition",5,2016-11-16,"7FE8510BC4C7E177112D61E19FC7C146","
Haslemere
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r437786219-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
This was one of our top places to visit on our recent trip to Bangkok. We reached it by river ferry and a local shopkeeper even gave us tickets to get in when we bought some drinks from him. The main attraction is the massive reclining golden Buddha and that on its own was well worth visiting. The temple complex is vast and there is so much to see that it can't really be achieved in a single visit, if it is hot and it was. I have an interest in sculptures and artwork so that was what I looked for and there are some impressive small and large sculptures to be seen. Some of the gate guardians are really impressive.Overall one of our top places that we visited that give you an idea of the culture and religion of Thailand.
","50-64 male"
"2",2,437464939,"Superb",5,2016-11-15,"16B00630B360946F9C73A1A5CCA45FD5","
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r437464939-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Must watch when you travel to Bangkok. I have never seen such a big and beautiful statue in my life.
",NA
"3",2,437392284,"Impressive Temple",5,2016-11-15,"46D78E26B403DD8393B568777F9C89CA","
scubanurse2
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r437392284-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
We loved our visit to the Reclining Buddha, the Temple is serene and so beautiful. We went on a Thursday and it was less busy than the other Temples we visited in Bankok. The size and detail of the Buddha are very impressive. It is a ""can't miss"" temple in Bangkok .
",NA
"4",2,437339839,"Very interesting historic venue!",5,2016-11-15,"BE9C852FF13EA6683DB06D13561B19F6","
Edinburgh, United Kingdom
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r437339839-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
I visited this temple with my family on a private guided tour. We really enjoyed having a guide for ourselves (we where a small group with 4 adults and 2 small kids). Even the kids found it impressive to see this large Buddha.I highly recommend having a guided while visiting here as there is so much history you would otherwise miss.
",NA
"5",2,437292682,"A must to visit in Bangkok",4,2016-11-14,"63907633A0A76346761BAFBCB5CD34E1","
Denmark
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r437292682-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
This temple is something else, its more like an old village with lot of beautiful history. Can be crowd special on weekends.
","Male"
"6",2,437240559,"Spiritual Peace !!!",5,2016-11-14,"99D743F095351284EBBBDFDF23795ED1","
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r437240559-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Wat Pho !!!One of the Top 10 places to Visit in Bangkok!Situated in Old main city, need 3 to 4 hours if you want to completely appreciate the beauty of the place.This place has got such a Devine power that you will feel the spiritual peace all by yourself.The Reclining Buddha statue is too BIG, more than you can imagine.Important points :Entrance Fee : THB 100 / person Dress Code - Decent mandatoryWater - Arrangement available by Chang and free bottle with each ticket.Time - Must start early to avoid rush and easy picture opportunities...Go Get the Blessing of Buddha !!!
",NA
"7",2,437022895,"Must see",5,2016-11-14,"96C1B7914AC9E5EDF1E41A1D10154A99","
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r437022895-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
I enjoyed visiting this place. I would suggest getting their early at the line builds up. Avoid local translators as they may be pricy but you can bargain down to 60%
",NA
"8",2,436831034,"must see place in Bangkok",5,2016-11-13,"A481367CEF9F84508DFC5D740E3EA8C7","
Embrach, Switzerland
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r436831034-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Very impressive Tempel, not only the Buddha itself. The entire Temple with all ist side Tempels, Stuppas etc.
",NA
"9",2,436683657,"Enjoyable visit",5,2016-11-12,"394893D219A330A96F231C79CB8C7B2D","
Waikerie, Australia
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r436683657-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Brought here by our guide Mandy from Mandy Smile Guide, we had a enjoyable visit. The reclining Buddha is very long.
","35-49 female"
"10",2,436504145,"Good to see",4,2016-11-11,"C4802B799CAD3C13194A491E80E70F42","
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r436504145-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
The laying Buddha is good, Worth go there because is impressive. Around we can see many nice places like temple and Buddha statues and learn a little bit about the history.
",NA
"11",3,436478870,"A Nice place",4,2016-11-11,"415664AD81C66925375347B14A770E19","
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r436478870-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
A nice place to visit for sure, if not just to check it off the list. Nice sights but in fact it looks better on the promotional photos that in reality.You may spend few hours here, but just as well you can get a full scope of it in under an hour, your choice.
",NA
"12",3,436313653,"Lovely Temple",4,2016-11-11,"AFAF88EAFE77E02D6A4052847759491F","
Motherwell, United Kingdom
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r436313653-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Visited this temple in the morning but it was still fairly busy. You also get a free bottle of water with your ticket.Remember to dress appropriately when visiting any temple. The sheer size of the reclining Buddha is breathtaking and worth the visit.
","35-49 male"
"13",3,436295570,"Visit to the temple",4,2016-11-10,"0E0353743B2D2798C95358636F48BF79","
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r436295570-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Went there as a part of the city tour. Nothing great to talk about but should not miss it. At the most could spend half an hour to 45 mins there. Being humid at day's time should carry drinking water and some eatables.
","35-49 female"
"14",3,436134979,"Must Visit Termple",4,2016-11-10,"88D0E2AF19507EE057594F430D7635FF","
Singapore, Singapore
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r436134979-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Highly recommended, very near to Grand Palace too. A great place to pray and one of the largest reclining buddha in Bangkok. There are other temples within the premises too.
",NA
"15",3,435731907,"Fantastic day out",5,2016-11-08,"B2A6FD42F53B5FDEC3356A2B05859AB2","
Wokingham
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r435731907-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Went to see with my family Fantastic day it really is fantastic a must to see on a visit to BangkokAllow a good 4 hours so many other attractions to seeAnd very near china town for lunch Mike
",NA
"16",3,435497303,"Woah....",4,2016-11-07,"B4A355629DB54D467B5311599A345D03","
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r435497303-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
The reclining Buddha was huge. Many tourist but it's very well organised. A must see place! Oh.... do try the local fruits.
","Male"
"17",3,435346784,"Pradip Medhi",5,2016-11-07,"9CA0D879232877334F680830E3AAC14E","
New Delhi, India
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r435346784-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Excellent monument. Must see . 100bht entry fees for all. It is beside the King palace.10 mins walk
",NA
"18",3,435317465,"Iconic",5,2016-11-07,"2F5E91F8BD819C4FEC4676F954C8D8CD","
Perth, Australia
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r435317465-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Needless to say, this is one of the most important sites in Bangkok. It may be helpful to know, however, that this is a complex of many temples and can take quite some time to visit. You may not want to see every single building, so acquaint yourself with the layout and visit those areas that you most wish to see first. If you get tired, you can skip out on the rest as it is so easy to get burnt out seeing temple after temple in Thailand.
","25-34 female"
"19",3,435260591,"Gives a nice feel",4,2016-11-07,"1BB3B3172805CA4E22945047B36EE81D","
Mumbai (Bombay), India
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r435260591-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
The temple has a lot of Buddha idolsThree main idols areReclining Buddha: Very huge!Standing BuddhaSitting BuddhaYou can spend a good 1 hr. Price is 100 THB per personHowever, please do not use tour guide. The charges are 200 THB per person which is a lot. You can find a temple map inside which would provide you with sufficient detailsAlso there are some free relaxing massage services, some yoga etc available in temple premises
","25-34 male"
